left_gas,left_glu,left_hab,left_had,left_ham,left_hf,left_sol,left_ta,left_vas,right_gas,right_glu,right_hab,right_had,right_ham,right_hf,right_sol,right_ta,right_vas
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.0118823,0.01,0.01,0.01,0.014452,0.0772374,0.0109465,0.01764,0.0158835,0.0118823,0.0100794,0.01,0.01,0.014452,0.0107912,0.0109465,0.01764,0.0158835
0.0135846,0.01,0.01,0.01,0.0184783,0.138046,0.0118026,0.0245495,0.0212044,0.0135846,0.0101512,0.01,0.01,0.0184783,0.0115067,0.0118026,0.0245495,0.0212044
0.0151241,0.01,0.01,0.01,0.0221196,0.19304,0.0125768,0.0307984,0.0260166,0.0151241,0.0102162,0.01,0.01,0.0221196,0.0121539,0.0125768,0.0307984,0.0260166
0.0165164,0.01,0.01,0.01,0.0254127,0.242775,0.0132769,0.0364497,0.0303686,0.0165164,0.0102749,0.01,0.01,0.0254127,0.0127391,0.0132769,0.0364497,0.0303686
0.0177756,0.01,0.01,0.01,0.028391,0.287755,0.0139102,0.0415607,0.0343045,0.0177756,0.010328,0.01,0.01,0.028391,0.0132684,0.0139102,0.0415607,0.0343045
0.0189144,0.01,0.01,0.01,0.0310845,0.328434,0.0144828,0.0461829,0.037864,0.0189144,0.0103761,0.01,0.01,0.0310845,0.0137471,0.0144828,0.0461829,0.037864
0.0199443,0.01,0.01,0.01,0.0335204,0.365224,0.0150007,0.0503632,0.0410832,0.0199443,0.0104195,0.01,0.01,0.0335204,0.01418,0.0150007,0.0503632,0.0410832
0.0208757,0.01,0.01,0.01,0.0357234,0.398495,0.0154691,0.0541438,0.0439946,0.0208757,0.0104588,0.01,0.01,0.0357234,0.0145715,0.0154691,0.0541438,0.0439946
0.0217181,0.01,0.01,0.01,0.0377158,0.428585,0.0158927,0.0575629,0.0466276,0.0217181,0.0104943,0.01,0.01,0.0377158,0.0149256,0.0158927,0.0575629,0.0466276
0.0224799,0.01,0.01,0.01,0.0395176,0.455799,0.0162758,0.060655,0.0490089,0.0224799,0.0105265,0.01,0.01,0.0395176,0.0152458,0.0162758,0.060655,0.0490089
0.0231689,0.01,0.01,0.01,0.0411472,0.48041,0.0166223,0.0634515,0.0511624,0.0231689,0.0105555,0.01,0.01,0.0411472,0.0155354,0.0166223,0.0634515,0.0511624
0.0237919,0.01,0.01,0.01,0.042621,0.502667,0.0169356,0.0659806,0.05311,0.0237919,0.0105818,0.01,0.01,0.042621,0.0157973,0.0169356,0.0659806,0.05311
0.0243555,0.01,0.01,0.01,0.0439538,0.522797,0.017219,0.0682679,0.0548715,0.0243555,0.0106056,0.01,0.01,0.0439538,0.0160342,0.017219,0.0682679,0.0548715
0.0248651,0.01,0.01,0.01,0.0451592,0.541002,0.0174753,0.0703365,0.0564644,0.0248651,0.0106271,0.01,0.01,0.0451592,0.0162484,0.0174753,0.0703365,0.0564644
0.025326,0.01,0.01,0.01,0.0462493,0.557466,0.0177071,0.0722073,0.0579051,0.025326,0.0106465,0.01,0.01,0.0462493,0.0164422,0.0177071,0.0722073,0.0579051
0.0257428,0.01,0.01,0.01,0.0472352,0.572356,0.0179167,0.0738992,0.059208,0.0257428,0.0106641,0.01,0.01,0.0472352,0.0166174,0.0179167,0.0738992,0.059208
0.0261198,0.01,0.01,0.01,0.0551082,0.578841,0.0181063,0.0754293,0.0555941,0.0261198,0.0177411,0.01,0.01,0.0554349,0.0159846,0.0181063,0.0754293,0.0603863
0.0264607,0.01,0.01,0.01,0.050795,0.599966,0.0182777,0.0768131,0.0512345,0.0264607,0.0170009,0.01,0.01,0.0510905,0.0261936,0.0182777,0.0768131,0.061452
0.0267691,0.01,0.01,0.01,0.0468943,0.638217,0.0184328,0.0780646,0.0472917,0.0267691,0.0163315,0.01,0.01,0.0471615,0.0973977,0.0184328,0.0780646,0.0624158
0.0270479,0.01,0.01,0.01,0.0433665,0.67281,0.018573,0.0791964,0.043726,0.0270479,0.0157261,0.01,0.01,0.0436082,0.183703,0.018573,0.0791964,0.0632874
0.0274781,0.01,0.01,0.01,0.0401761,0.704095,0.0186998,0.0852429,0.0405012,0.0274781,0.0151786,0.01,0.01,0.0403947,0.254369,0.0186998,0.0852429,0.0640756
0.0279835,0.01,0.01,0.01,0.0372907,0.725506,0.0188145,0.094958,0.0375847,0.0279835,0.0146834,0.01,0.01,0.0374884,0.258607,0.0188145,0.094958,0.0647885
0.0284463,0.01,0.01,0.01,0.0346812,0.729028,0.0189182,0.107292,0.0349471,0.0284463,0.0142356,0.01,0.01,0.03486,0.241388,0.0189182,0.107292,0.0654333
0.0288425,0.01,0.01,0.01,0.0323213,0.754937,0.019012,0.121367,0.0325617,0.0288425,0.0138306,0.01,0.01,0.032483,0.276308,0.019012,0.121367,0.0660164
0.0292399,0.01,0.01,0.01,0.030187,0.77837,0.0190969,0.136449,0.0304044,0.0292399,0.0134643,0.01,0.01,0.0303332,0.345506,0.0190969,0.136449,0.0665437
