left_gas,left_glu,left_hab,left_had,left_ham,left_hf,left_sol,left_ta,left_vas,right_gas,right_glu,right_hab,right_had,right_ham,right_hf,right_sol,right_ta,right_vas
21.1978,0,24.72,23.2629,0,15.4529,0,0,0,21.1978,0,24.72,23.2629,0,15.4529,0,0,0
15.9911,0,28.7415,33.8077,0,55.6068,0,0,0,15.9911,0,28.7415,33.8077,0,18.1848,0,0,0
4.18024,0,29.6864,38.9494,0,103.666,0,0,0,4.18024,0,29.6864,38.9494,0,18.1313,0,0,0
0.918117,0,29.921,41.6597,0,153.319,0,0,0,0.918117,0,29.921,41.6597,0,18.852,0,0,0
7.96187,0,29.9801,43.1367,0,216.634,0,0,0,7.96187,0,29.9801,43.1367,0,21.1965,0,0,0
18.8149,0,29.995,43.9549,0,303.857,0,0,0,18.8149,0,29.995,43.9549,0,26.7274,0,0,0
37.7664,0,29.9987,44.412,0,411.52,0,0,0,37.7493,0,29.9987,44.412,0,26.4774,0,0,0
65.954,0,29.9997,44.6686,0,538.321,0,0,0,64.8958,0,29.9997,44.6686,0,30.8593,0,0,0
94.5699,0,29.9999,44.813,0,527.517,3.77343,0,0,86.0118,0,29.9999,44.813,0,20.7724,6.82394,0,0
116.024,0,30,44.8943,0,360.318,91.5983,0,0,107.182,0,30,44.8943,0,18.7422,92.8709,0,0
109.182,0,30,44.9402,0,196.563,269.454,0,0,120.517,0,30,44.9402,0,18.4509,237.06,0,0
62.6927,0,30,44.9661,0,112.145,388.249,0,0,107.235,0,30,44.9661,0,21.0589,296.321,0,0
27.8499,0,30,44.9808,0,155.643,360.99,0,0,84.7968,0,30,44.9808,0,30.2413,227.474,0,0
7.80391,0,30,44.989,0,330,241.352,0,0,75.6732,0,30,44.989,0,86.0889,100.023,0,0
0,0,30,44.9937,0,266.862,124.485,0,0,49.3724,0,30,44.9937,0,36.2805,37.4622,0,0
0,13.333,30,44.9963,0,3.20055,40.0197,0,0,12.7817,0,30,44.9963,0,9.4555,19.1608,0,0
0,462.891,30,44.9978,0,0,0,0,6.17116,0,0,30,44.9978,0,0,8.96674,0,0
0,1094.02,30,44.9986,0,0,0,14.9959,449.751,0,20.9449,30,44.9986,0,0,0.410356,0.00611668,0
0,1059.79,30,44.9991,0,0,0,74.5997,859.757,0,11.7318,30,44.9991,0,26.8822,0,12.4046,0
0,724.597,30,44.9994,0,0,0,163.033,1152.77,0,0,30,44.9994,0,214.799,0,38.2328,0
0,757.794,30,44.9995,0,0,0,350.191,1601.48,0,8.4005,30,44.9995,0,341.892,0,67.0479,0
0,1330.17,30,44.9996,0.362969,0,0,737.409,2250.59,0,21.6296,30,44.9996,0,115.491,0,78.6303,0
0,2325.69,30,44.9997,84.1591,0,0,517.576,2887.45,0,156.519,30,44.9997,0,0,0,90.5923,0
0,3260.85,30,44.9997,150.496,0,0,127.467,3145.77,0,244.499,30,44.9997,0,0,0,106.908,327.611
0,3572,30,44.9997,166.65,0,0,131.158,2850.97,0,71.311,30,44.9997,7.58814,27.2962,0,120.846,387.934
0,3167.72,30,44.9997,126.529,0,0,86.4208,2174.41,0,11.5225,30,44.9997,10.6374,342.397,0,132.193,295.077
0,2567.47,30,44.9997,97.6218,0,0,6.19089,1374.3,0,6.82619,30,44.9997,10.5791,910.357,0,145.007,204.553
0,2183.65,30,44.9997,111.063,0,0,0,646.264,0,11.7861,30,44.9997,14.2596,992.943,0,163.689,303.845
0,1915.47,30,44.9997,158.052,0,13.5654,0,207.663,0,16.6575,30,44.9997,21.8953,609.678,0,188.439,414.387
0,1439.53,30,44.9997,214.925,0,26.1784,0,44.5344,0,17.3784,30,44.9997,28.19,427.788,0,210.998,440.204
0,694.41,30,44.9997,237.517,0,52.1233,0.127184,0,0,12.1041,30,44.9997,22.4081,650.341,0,223.57,420.169
0,112.05,30,44.9997,235.579,0,81.7282,2.13608,0,0,5.50755,30,44.9997,13.6389,1479.27,0,228.677,206.848
0,17.5084,30,44.9997,271.007,139.98,62.7725,13.783,0,0,4.14336,30,44.9997,12.0299,1863.87,0,228.202,89.0739
0,19.7933,30,44.9997,393.784,315.29,48.0296,29.3648,0,0,9.22445,30,44.9997,17.6238,1893.92,0,237.77,78.1671
12.2789,20.7259,30,44.9997,578.26,379.842,90.116,26.5638,0,0,10.0756,30,44.9997,26.3151,1937.8,0,250.02,68.1526
71.7233,15.8822,30,44.9997,744.828,560.19,83.3983,38.9135,0,0,6.00219,30,44.9997,23.6292,2117.41,0,241.391,21.6758
109.427,10.1876,30,44.9997,836.04,946.158,33.3935,75.9976,0,0,0,30,44.9997,14.8427,3049.27,0,224.11,0
201.605,9.8156,30,44.9997,851.705,1303.54,65.3342,64.9912,0,0.432693,0,30,44.9997,11.2768,4761.14,0,220.144,0
269.592,15.2787,30,44.9997,846.503,1240.34,112.348,53.5075,0,30.0798,0,30,44.9997,12.4478,6347.37,0,232.349,0
193.097,16.7005,30,44.9997,847.151,901.136,41.2518,101.051,0,76.1589,0,30,44.9997,16.0881,7079.79,0,248.576,0
197.072,20.9272,30,44.9997,828.247,700.104,55.5562,97.9623,0,104.712,0,30,44.9997,16.197,7187.1,0,249.18,0
275.871,20.1188,30,44.9997,774.007,718.429,142.241,62.9493,0,119.642,0,30,44.9997,12.7954,6906.35,0,244.331,0
230.131,13.3076,30,44.9997,683.925,919.988,61.4049,109.838,0,123.06,0,30,44.9997,9.3051,6403.02,0,233.405,0
219.214,11.1635,30,44.9997,559.954,1172.57,41.4359,133.633,0,122.843,0,30,44.9997,7.53604,5636.24,0,211.52,0
306.276,12.2551,30,44.9997,421.21,1277.08,146.198,77.7353,0,120.031,0,30,44.9997,6.92695,4479.47,0,179.086,0
250.562,16.3558,30,44.9997,291.719,1232.31,107.968,99.6874,0,115.152,0,30,44.9997,6.89157,3134.77,0,144.268,0
168.323,18.4476,30,44.9997,171.292,1206.63,50.023,144.435,0,110.448,3.07256,30,44.9997,6.79115,2554.84,0.65494,117.724,0
227.654,13.4138,30,44.9997,64.4262,1334.13,173.081,80.9606,0,109.673,4.55544,30,44.9997,6.31728,2504.12,11.8374,103.603,0
196.781,11.2777,30,44.9997,52.7984,1529.83,178.723,83.6264,0,107.826,4.13385,30,44.9997,5.9517,2471.48,24.3208,98.6625,0
95.0306,12.4274,30,44.9997,40.3614,1583.47,72.0715,142.756,0,104.917,4.58596,30,44.9997,6.0129,2449.38,36.4999,95.7794,0
107.368,16.6873,30,44.9997,31.6969,1498.69,184.352,88.2046,0,102.426,4.98156,30,44.9997,6.28477,2422.87,48.5591,93.6043,0
