,disc,label,meta_G_GAS,meta_G_SOL,metric_Unnamed: 0,metric_corangles_ankle_l,metric_corangles_ankle_r,metric_corangles_hip_l,metric_corangles_hip_r,metric_corangles_knee_l,metric_corangles_knee_r,metric_energy,metric_maximize_distance,metric_maxtime,metric_minimize_activation,metric_minimize_passive_torques,metric_minimize_periodic_gait,metric_velocity
0,False,1,1.205,3.076,0,0.10799398009903499,0.6461917484720386,0.8984643118449653,0.8105601507291103,0.4310492169726367,-0.1272374385722584,0.6467089542434601,10.205903690292855,1639.0,363.84399747959327,58592.357230960304,231.8570938560458,1.249835390817813
1,False,2,1.205,2.412,0,-0.04930366613017072,0.6461917484720386,0.8970608874316573,0.9118407246834792,0.6453643462850112,0.12837238958308586,0.6467089542434601,21.62684931520155,3289.0,174.39003279745603,22930.77640106805,36.31482444075462,1.3173170672538252
2,False,3,2.718,2.8120000000000003,0,-0.09497719101957088,0.7214077219959733,0.8509235105999005,0.8926285785622358,0.5443889276916779,-0.1272374385722584,0.6467089542434601,14.68633107472498,2507.0,246.7333406635519,316626.4128324381,33.252950154991396,1.1743562169068282
3,False,4,0.974,3.34,0,0.19044208885419067,0.5556912961252269,0.9171244007316238,0.9167962960778674,0.4310492169726367,0.07701390670942124,0.6467089542434601,12.35415056907593,1835.0,317.58226685493014,75351.79803563567,80.8021732945193,1.3498799283144354
4,False,5,1.051,4.0,0,0.19044208885419067,0.5751981219800197,0.9576407080732496,0.9167962960778674,0.4485638314268157,0.11927892758403096,0.6467089542434601,15.465358701027705,2947.0,204.9331595409753,36347.16960689969,34.7217429522016,1.05234223960641
5,True,6,1.872,3.34,0,0.301438488874077,0.5465766199415341,0.911548940900236,0.9223488046274908,0.3256275514876004,0.1930997774022873,0.6467089542434601,25.583281851671487,4000.0,155.5985577954405,18108.66914997392,6.0282650068240775,1.2809874018559415
6,False,7,2.859,3.7359999999999998,0,-0.18944982785556408,0.6461917484720386,0.8084906913927005,0.8154887703388116,0.5323721905712812,-0.027790175487375682,0.6467089542434601,12.824461384150279,2369.0,258.40144908753444,53414.89364465172,32.128476421602656,1.0856933026928812
7,False,8,1.1280000000000001,0.268,0,0.2875511585403365,0.7008410746052431,0.8984643118449653,0.9167962960778674,0.4050154803627957,0.7731678549597328,0.6467089542434601,9.054656356669328,2115.0,254.3454311216161,31251.800088645454,82.82297584043017,0.8593954186692583
8,True,9,1.872,0.0,0,0.07857458408788012,0.1430300897615924,0.9114678236987224,0.9167962960778674,0.2182900425396112,0.07277864396244524,0.6467089542434601,18.74522414395917,4000.0,153.2173104771565,8393.645515099734,30.438823893210877,0.9391016107599052
9,False,10,1.436,2.144,0,0.3296525369026103,0.5491151974170362,0.947182624093944,0.9354984668768901,0.5300391533907777,0.1769743453328764,0.6467089542434601,22.87729297308731,3347.0,176.20515006508697,24867.508255999317,32.551322012883666,1.3692065096762565
10,False,11,0.974,0.268,0,0.10799398009903499,0.7152851547931109,0.7751831229876283,0.9167962960778674,0.19474041717655352,0.07701390670942124,0.6467089542434601,10.512899402473412,1707.0,316.01851286499567,51263.41270367259,162.91502978174745,1.2354387090542858
11,False,12,1.59,1.34,0,0.19044208885419067,0.5670784144584924,0.8984643118449653,0.9167962960778674,0.4310492169726367,-0.1272374385722584,0.6467089542434601,10.269264155089779,1621.0,347.3701254053061,55637.05633276449,149.60229552046994,1.2709015200912008
12,False,13,1.436,2.412,0,0.3804865959659919,0.4754878602957405,0.9271131697308924,0.9281992643981389,0.3461374330245732,0.29860169448986595,0.6467089542434601,20.682384314352003,3092.0,191.66382005992764,26441.271470190943,42.63190250791629,1.340154678688782
13,True,14,2.436,1.8760000000000001,0,0.19044208885419067,0.5055600655737551,0.9117352121697541,0.9291008512213236,0.5827881477486917,0.25015523017824903,0.6467089542434601,28.251774493688632,4000.0,157.9502757777123,12204.829479776998,12.160605346454606,1.4144053630587283
14,False,15,2.718,3.604,0,-0.06842181807328873,0.5670784144584924,0.8443275371667146,0.9167962960778674,0.5487782059837713,-0.01438388695556908,0.6467089542434601,11.435040803778264,2579.0,236.6708587487641,53810.785201295446,108.78628817209277,0.8898462713589425
15,True,16,1.205,1.8760000000000001,0,0.15961957493468967,0.4732414573422969,0.9151404311012256,0.9009477306373576,0.7401740538275537,0.3719459878350767,0.6467089542434601,28.16943542076867,4000.0,144.9972526499335,13928.406532641233,40.27565501306946,1.4102886152501208
16,False,17,2.859,1.608,0,0.10799398009903499,0.6461917484720386,0.8795081998709665,0.8845838790555636,0.670100187752154,-0.30748970272271337,0.6467089542434601,13.408980581973355,2008.0,299.2985422710613,41850.41876663431,45.32161613375774,1.3391821287545649
17,False,18,2.013,0.0,0,0.10799398009903499,0.6461917484720386,0.8984643118449653,0.9167962960778674,0.4310492169726367,0.11927892758403096,0.6467089542434601,7.5607663291808285,1744.0,318.32191244992174,46598.90754695503,88.783029945022,0.8712892445856395
18,False,19,2.577,0.268,0,0.19044208885419067,0.7152851547931109,0.7751831229876283,0.8105601507291103,0.19474041717655352,-0.1272374385722584,0.6467089542434601,7.459922885739664,1827.0,311.157669526969,45071.08582997669,70.51969216286041,0.8204037704990064
19,False,20,2.577,0.536,0,-0.1766714694953848,0.7121225119939141,0.9151404311012256,0.9167962960778674,0.3904372406171906,0.5031022263183204,0.6467089542434601,9.57124774966748,2471.0,244.2474197165509,23197.94070693612,65.37760073199269,0.777552591238035
20,False,21,1.1280000000000001,3.472,0,0.19044208885419067,0.5757362259172409,0.8984643118449653,0.9176090038689152,0.3904372406171906,-0.1272374385722584,0.6467089542434601,12.03426307153996,1939.0,305.0392848354138,53948.820494940956,105.68459089850045,1.2451789834338256
21,False,22,1.513,2.144,0,0.19044208885419067,0.5482416829124662,0.8984643118449653,0.8571179632404258,0.815940630785823,0.17440586627675794,0.6467089542434601,14.448802059320988,2139.0,273.42923510454267,33838.47661249629,47.5194247192062,1.3542628056625887
