,0,1,fit_1,fit_2,fit
particule1,-5.297738611403455,-0.9493940271477175,-1.0,-1.0,-2.0
particule2,-4.66764024641846,-0.7135452220016585,-1.0,-0.9999998,-1.9999998
particule3,-5.7004092280173095,-0.12004927539782348,-1.0,-1.0,-2.0
particule4,-5.443063190889005,-2.3062875062710155,-1.0,-1.0,-2.0
particule5,-6.459289280400854,-1.7998262110135659,-1.0,-1.0,-2.0
particule6,-6.797705027700733,-1.8619136177627293,-1.0,-1.0,-2.0
particule7,-5.791713341078821,-2.0499417289339306,-1.0,-1.0,-2.0
particule8,-6.700394642352833,-1.555404942399212,-1.0,-1.0,-2.0
particule9,-5.530333611686275,-0.39967699236050824,-1.0,-1.0,-2.0
particule10,-5.594270053953933,-1.105256325761463,-1.0,-1.0,-2.0
particule11,-5.240890491612352,-2.1495537688507613,-1.0,-1.0,-2.0
particule12,-4.455661255739651,-1.4495518196206671,-1.0,-0.9999995,-1.9999995
particule13,-5.34329535149443,-0.2528020360700743,-1.0,-1.0,-2.0
particule14,-6.889625930635498,0.8115301275296862,-1.0,-1.0,-2.0
particule15,-6.264479850803028,-1.7323899642113278,-1.0,-1.0,-2.0
particule16,-6.623676188031407,0.10001807402209989,-1.0,-1.0,-2.0
particule17,-6.232377063299694,-1.0151005236305832,-1.0,-1.0,-2.0
particule18,-5.592904773713817,-2.2178968834625543,-1.0,-1.0,-2.0
particule19,-4.971452937155967,-0.3016596759786182,-1.0,-1.0,-2.0
particule20,-6.371572353833077,-0.59934690948049,-1.0,-1.0,-2.0
particule21,-4.301929926709442,-1.9065372480704206,-1.0,-0.9999994,-1.9999994
particule22,-5.948419794475184,-0.2270825471754632,-1.0,-1.0,-2.0
particule23,-5.363366175451081,-0.1926818548818685,-1.0,-1.0,-2.0
particule24,-6.13984445792057,-1.4424496727717329,-1.0,-1.0,-2.0
particule25,-5.540118350795006,-2.1973503165660926,-1.0,-1.0,-2.0
particule26,-6.471641294780669,-0.900530036847782,-1.0,-1.0,-2.0
particule27,-5.233294140233349,-1.423177315016516,-1.0,-1.0,-2.0
particule28,-6.064732393936807,-2.009972006162313,-1.0,-1.0,-2.0
particule29,-6.3588579976086,-2.0944774837663673,-1.0,-1.0,-2.0
particule30,-4.9081788189720985,-0.47706994122591156,-1.0,-1.0,-2.0
particule31,-5.74301935771812,-1.0768491823538078,-1.0,-1.0,-2.0
particule32,-5.333294940592167,-2.0454976394920195,-1.0,-1.0,-2.0
particule33,-5.6798340457551975,0.15136885727846128,-1.0,-1.0,-2.0
particule34,-6.162555171473123,-1.7836645272037772,-1.0,-1.0,-2.0
particule35,-5.716803870643668,-0.8728451346948571,-1.0,-1.0,-2.0
particule36,-5.0521165356568405,-2.3027047100476112,-1.0,-1.0,-2.0
particule37,-5.932528115999054,-2.0719602217491175,-1.0,-1.0,-2.0
particule38,-6.623417090387345,-1.2120215974554898,-1.0,-1.0,-2.0
particule39,-5.332409884029407,-0.4059293140175203,-1.0,-1.0,-2.0
particule40,-6.072926350547981,-0.23399745372153502,-1.0,-1.0,-2.0
particule41,-5.586169752337038,0.16964399492967713,-1.0,-1.0,-2.0
particule42,-5.322222346303929,-1.7945857512266952,-1.0,-1.0,-2.0
particule43,-6.47115456440461,-1.2235623520475802,-1.0,-1.0,-2.0
particule44,-4.858036963662668,-2.1343439274715013,-1.0,-1.0,-2.0
particule45,-5.407816382288125,-1.6093128647360015,-1.0,-1.0,-2.0
particule46,-6.301060760804831,-1.7814309296474935,-1.0,-1.0,-2.0
particule47,-6.727113987262696,-0.47402269843570666,-1.0,-1.0,-2.0
particule48,-6.331205889283697,-2.078383319490293,-1.0,-1.0,-2.0
particule49,-6.12885382275016,-0.21329951237630973,-1.0,-1.0,-2.0
particule50,-5.315335963858274,-1.4804864726668927,-1.0,-1.0,-2.0
