uid,ta_activitybasal,uid,0,maxtime,distance,mean_speed,energy,energy_to_dist,cor_ankle_left,rms_ankle_left,cor_hip_left,rms_hip_left,cor_knee_left,rms_knee_left,cor_ankle_right,rms_ankle_right,cor_hip_right,rms_hip_right,cor_knee_right,rms_knee_right,fit_stable,fit_cor,fit_rms,fit_energy,fit_corhip,fit_corknee,fit_corankle,fit_rmship,fit_rmsknee,fit_rmsankle,gas_activitybasal,hf_bl,deltas,vas_activitybasal,hamham_wf,vasvas_wf,kd,glu_activitybasal,kref,kbodyweight,hamhf_wl,gluglu_wf,tata_wl,ta_bl,solta_wf,sol_activitybasal,gasgas_wf,ham_activitybasal,ham_bl,solsol_wf,hfhf_wl,kp,hf_activitybasal,klean
param20val14,0.01866666666666666,param20val14,value,20.0,24.9514,1.24757,5481.23,219.6762506312271,0.5282756593458524,1.452827546355591,0.8814448959505384,1.9552235177850845,0.9510229808612874,1.6285973574544377,0.5084950070406374,1.4713229359252393,0.8709107609226332,2.0137823604469274,0.9430511975316015,1.6914764442131356,1,78.05334169420917,-10.213230162180414,-21.96762506312271,87.61778284365857,94.70370891964444,51.83853331932448,-3.9690058782320117,-3.320073801667573,-2.9241504822808304,,,,,,,,,,,,,,,,,,,,,,,,
param20val2,0.0026666666666666666,param20val2,value,20.0,25.1141,1.255705,5491.93,218.6791483668537,0.5493301929944328,1.4662262338082013,0.8833320667584527,1.989026717819047,0.9592848381565441,1.507784909634002,0.5437768317646683,1.4678765054579315,0.8730380692162407,2.0456913311207128,0.9474473786781125,1.6216080812715141,1,79.27015629280753,-10.09821377911141,-21.86791483668537,87.81850679873466,95.33661084173282,54.65535123795505,-4.03471804893976,-3.129392990905516,-2.934102739266133,,,,,,,,,,,,,,,,,,,,,,,,
param20val7,0.00933333333333333,param20val7,value,20.0,25.0478,1.25239,5492.07,219.26356805787336,0.5446936203447237,1.4573503221720465,0.882824593492376,1.9764885284505458,0.9588467974093821,1.5405538420554898,0.5330183646653764,1.4634850737368412,0.8680334619981461,2.0741013794494516,0.9480012478029592,1.6507811033068487,1,78.92363476188272,-10.162760249171225,-21.926356805787336,87.5429027745261,95.34240226061706,53.885599250505,-4.050589907899997,-3.1913349453623385,-2.9208353959088877,,,,,,,,,,,,,,,,,,,,,,,,
param20val28,0.4360000000000001,param20val28,value,20.0,24.1466,1.20733,7496.15,310.4432922233358,0.44202547422216054,1.7500721243861326,0.9302787554575441,3.337914246356156,0.7446156181041131,3.1939809699175403,0.5516417637268201,2.1782786239533953,0.8061775148915508,3.5472801542482038,0.9074081895177565,2.1238820607638633,1,73.03578859866575,-16.131408179625293,-31.04432922233358,86.82281351745475,82.60119038109349,49.68336189744903,-6.88519440060436,-5.317863030681403,-3.928350748339528,,,,,,,,,,,,,,,,,,,,,,,,
param20val18,0.11599999999999999,param20val18,value,20.0,23.8736,1.19368,5440.42,227.88435761678173,0.3439676974807622,1.4967363906519393,0.867953306230257,1.927883136629429,0.9310679174574119,1.851813437907195,0.3182991640350771,1.5236144426997758,0.8571077231207206,1.9737101968228934,0.9192326200079706,1.9704964038325266,1,70.62714047220332,-10.74425400854376,-22.788435761678173,86.25305146754889,92.51502687326912,33.11334307579197,-3.9015933334523223,-3.8223098417397217,-3.0203508333517153,,,,,,,,,,,,,,,,,,,,,,,,
param20val0,0.0,param20val0,value,20.0,25.2188,1.2609400000000002,5512.69,218.59446127492185,0.5428116010040592,1.4828015428014778,0.8856420597342832,1.9386076023989753,0.9526282012640082,1.5877473695907567,0.5501294696319038,1.4620021674353898,0.8660850447653677,2.1217622791132724,0.9516701877367633,1.589162085603276,1,79.14944273560641,-10.182083046943147,-21.859446127492184,87.58635522498255,95.21491945003856,54.64705353179815,-4.060369881512248,-3.176909455194033,-2.944803710236868,,,,,,,,,,,,,,,,,,,,,,,,
param20val9,0.012,param20val9,value,20.0,25.0441,1.252205,5494.92,219.40976118127622,0.5419716266283546,1.448684641802828,0.8815061136995466,2.020189483512771,0.9582582722969063,1.573125913884055,0.523946080112428,1.4613941087292028,0.8644226198956321,2.0815346151492875,0.9421230948928859,1.6856196831107155,1,78.53713012542921,-10.27054844618886,-21.940976118127622,87.29643667975893,95.01906835948961,53.29588533703913,-4.101724098662059,-3.2587455969947703,-2.9100787505320307,,,,,,,,,,,,,,,,,,,,,,,,
param20val3,0.004,param20val3,value,20.0,25.1298,1.2564899999999999,5499.31,218.8362024369474,0.5604904537204747,1.4484302163392588,0.887025867984131,1.9019675203875253,0.9540039371238475,1.5728293608559,0.552298549037872,1.4496350963001183,0.8729909513137774,2.042387279712445,0.951547475390384,1.604354400993294,1,79.63928724284143,-10.019603874588542,-21.88362024369474,88.00084096489542,95.27757062571158,55.639450137917336,-3.94435480009997,-3.177183761849194,-2.8980653126393774,,,,,,,,,,,,,,,,,,,,,,,,
param20val30,0.5,param20val30,value,6.974,4.97627,0.7135460281043877,2034.48,408.8363372566199,0.4005373415900524,1.7284821767464988,0.9634171488792223,2.4176912726521462,0.7446156181041131,3.1939809699175403,0.12082001112467664,2.656306853791864,0.24784796695000072,3.7577165394009566,0.5745088053350056,3.439444094574863,-1000,50.862448199717846,-17.19362190708387,-40.883633725661994,60.563255791461145,65.95622117195595,26.06786763573645,-6.175407812053103,-6.633425064492403,-4.3847890305383626,,,,,,,,,,,,,,,,,,,,,,,,
param20val20,0.18,param20val20,value,20.0,24.8479,1.242395,6518.31,262.32840602223934,0.37620455671899466,1.4475133248556784,0.837497417583627,2.821836993052871,0.9709268623724484,1.474206826187627,0.3905826453703962,1.434677843822645,0.8388742454531516,2.7905487460485157,0.972607001434411,1.436702575785615,1,73.11154548221715,-11.405486309752954,-26.232840602223934,83.81858315183892,97.17669319034297,38.33936010446954,-5.612385739101386,-2.9109094019732424,-2.8821911686783235,,,,,,,,,,,,,,,,,,,,,,,,
