gasgas_wf,ham_bl,hamham_wf,sol_activitybasal,solsol_wf,solta_wf,ta_bl,tata_wl,vasvas_wf
3.6461948749,0.8343365022,0.2178864143,0.1124644583,3.3187164244,0.9871290625,1.4060233151,0.6325313027,1.832217985
3.8218430008,0.8740359043,0.393898739,0.0684198548,1.6941771758,0.680398969,0.3054945971,1.3333031087,0.8992928119
2.6436614145,0.8743940184,0.3219204654,0.1588134682,1.8815843373,0.5810661464,0.9705399989,0.5471065155,0.8129816137
3.6451538706,0.7779640476,0.1584262903,0.0715387886,1.9259580843,1.0257253496,0.3749029831,1.0749437168,0.7864382565
3.0316667877,0.8895002927,0.2545989956,0.15487892,1.9020358102,0.8843187689,1.0291266385,0.5191523408,1.0108610302
3.093161806,0.8696342001,0.2545989956,0.178560749,2.0354794149,0.6241289569,0.9431386132,0.4407486347,0.997025586
3.3432396366,0.9124530554,0.2193340355,0.1239018823,1.4858259449,0.6478461331,0.341744022,1.7489362714,0.7762084973
4.0238167354,0.9175505987,0.2002626765,0.097125609,1.6958167079,0.6478461331,0.4610625738,1.5833117331,0.7943224471
3.7207789267,0.9124530554,0.2563878127,0.1210711038,1.4858259449,0.677799836,0.4319201445,1.7967920681,0.7820378559
2.4785244323,0.8743940184,0.3219204654,0.1508411375,1.8746533015,0.6333659124,0.931488949,0.5345990687,0.7811033979
3.8512781972,0.8007580899,0.2026533567,0.0704229944,1.9259580843,1.2346751346,0.3812313073,1.0749437168,0.7943224471
3.8780847554,0.8740359043,0.3947843239,0.0694113507,1.7727794354,0.656611607,0.3054945971,1.3333031087,0.8992928119
2.5799869486,0.8551934251,0.2810685121,0.1060532707,2.3649415576,0.5136900143,1.1551799272,0.6519232104,1.3307788709
2.5253808264,0.8794288021,0.2411607193,0.1953699508,1.7821299624,0.6178541779,0.8195271168,0.3883150838,1.4597489105
2.334241003,0.8318882531,0.2321273048,0.1060532707,2.5070376982,0.5698347758,1.1814794382,0.6519232104,1.3307788709
3.5368687837,0.9175505987,0.2901984384,0.0976200074,3.2645535988,0.6478461331,0.455642995,2.0484601023,0.8433414044
2.8301152139,0.8696342001,0.2495578743,0.178560749,2.0354794149,0.5810661464,0.9705399989,0.437533388,1.2653296716
3.8512781972,0.8072109347,0.1802002381,0.0677910557,1.9769737189,1.3011775376,0.3804534152,1.0749437168,0.7776495469
2.6624480019,0.8681442707,0.3023837302,0.1240182325,2.5071779462,0.5887268919,1.3398200626,1.1686917903,1.2127466255
2.5799869486,0.867515948,0.2810685121,0.1240182325,2.5071779462,0.5759543977,1.2447974073,1.146072382,1.2579516491
